GEOID20,District
04012000052,2
04012000064,2
04012000058,2
04012000054,2
04012000059,2
04012ZZZZZZ,2
04015000211,3
04015000209,3
04015000220,3
04015000217,3
04015000201,3
04015000215,3
04015000223,3
04015000212,3
04015000213,3
04015000216,3
04015000210,3
04015000222,3
04015000205,3
04015000208,3
04015000206,3
04015000218,3
04015000202,3
04015000204,3
04015000221,3
04015000207,3
04015000214,3
04015000219,3
04015000203,3
04015000224,3
04005000040,3
04005000098,3
04005000024,3
04005000080,3
04005000058,3
04005000048,3
04005000092,3
04005000099,3
04005000042,3
04005000059,3
04005000043,3
04005000047,3
04005000097,3
04005000069,3
04005000056,3
04005000011,3
04005000062,3
04005000041,3
04005000073,3
04005000075,3
04005000074,3
04005000053,3
04005000015,3
04005000079,3
04005000001,3
04005000061,3
04005000093,3
04005000064,3
04005000071,3
04005000052,3
04005000063,3
04005000065,3
04005000070,3
04005000055,3
04005000016,3
04005000003,3
04005000021,3
04005000095,3
04005000090,3
04005000023,3
04005000066,3
04005000084,3
04005000060,3
04005000050,3
04005000005,3
04005000012,3
04005000004,3
04005000019,3
04005000009,3
04005000088,3
04005000082,3
04005000094,3
04005000025,3
04005000051,3
04005000085,3
04005000014,3
04005000007,3
04005000083,3
04005000026,3
04005000008,3
04005000022,3
04005000072,3
04005000067,3
04005000017,3
04005000002,3
04005000006,3
04005000013,3
04005000020,3
04005000018,3
04005000086,3
04005000010,3
04023000021,3
04023000007,3
04023000008,3
04023000019,3
04023000001,3
04023000016,3
04023000005,3
04023000014,3
04023000012,3
04023000011,3
04023000017,3
04023000020,3
04023000022,3
04023000006,3
04023000023,3
04023000003,3
04023000015,3
04023000013,3
04023000010,3
04023000002,3
04023000009,3
04023000004,3
04023000018,3
04023000024,3
04007000038,2
04007000040,2
04007000033,2
04007000039,2
04007000018,2
04007000013,2
04007000011,2
04007000014,2
04007000015,2
04007000001,2
04007000030,2
04007000027,2
04007000010,2
04007000008,2
04007000037,2
04007000036,2
04007000031,2
04007000054,2
04007000032,2
04007000017,2
04007000034,2
04007000035,2
04007000012,2
04007000003,2
04007000026,2
04007000024,2
04007000023,2
04007000009,2
04007000007,2
04007000002,2
04007000004,2
04007000025,2
04007000028,2
04007000051,2
04007000016,2
04007000006,2
04007000029,2
04009000012,2
04009000009,2
04009000011,2
04009000003,2
04009000004,2
04009000013,3
04009000005,2
04009000017,2
04009000016,2
04009000001,3
04009000021,2
04009000018,2
04009000020,2
04009000002,2
04009000019,2
04009000007,2
04009000015,2
04009000010,2
04009000006,2
04009000008,2
04009000014,2
04009000022,2
04011000002,3
04011000008,3
04011000004,3
04011000007,3
04011000003,3
04011000001,3
04011000005,3
04011000006,3
04025000020,2
04025000051,2
04025000008,2
04025000033,2
04025000035,2
04025000004,2
04025000043,2
04025000019,2
04025000010,2
04025000037,2
04025000029,2
04025000054,2
04025000049,2
04025000066,2
04025000036,2
04025000005,2
04025000114,2
04025000003,2
04025000105,2
04025000041,2
04025000014,2
04025000012,2
04025000031,2
04025000001,2
04025000109,2
04025000039,2
04025000013,2
04025000077,2
04025000056,2
04025000016,2
04025000091,2
04025000027,2
04025000115,2
04025000046,2
04025000018,2
04025000057,2
04025000045,2
04025000002,2
04025000040,2
04025000017,2
04025000021,2
04025000028,2
04025000030,2
04025000015,2
04025000090,2
04001000085,3
04001000125,3
04001000080,3
04001000215,3
04001000140,3
04001000075,3
04001000165,3
04001000130,3
04001000020,3
04001000065,3
04001000180,3
04001000035,3
04001000185,3
04001000170,3
04001000100,3
04001000070,3
04001000160,3
04001000005,3
04001000155,3
04001000115,3
04001000150,3
04001000015,3
04001000210,3
04001000175,3
04001000010,3
04001000205,3
04001000195,3
04001000050,3
04001000145,3
04001000110,3
04001000030,3
04001000120,3
04001000105,3
04001000055,3
04001000095,3
04001000200,3
04001000090,3
04001000190,3
04001000040,3
04001000060,3
04001000135,3
04001000045,3
04001000025,3
04017000036,3
04017000038,3
04017000012,3
04017000058,3
04017000040,3
04017000033,3
04017000005,3
04017000029,3
04017000004,3
04017000044,3
04017000022,3
04017000003,3
04017000007,3
04017000032,3
04017000008,3
04017000020,3
04017000056,3
04017000016,3
04017000049,3
04017000025,3
04017000046,3
04017000059,3
04017000043,3
04017000047,3
04017000052,3
04017000009,3
04017000053,3
04017000018,3
04017000034,3
04017000039,3
04017000045,3
04017000054,3
04017000010,3
04017000041,3
04017000002,3
04017000006,3
04017000060,3
04017000015,3
04017000001,3
04017000024,3
04017000055,3
04017000057,3
04017000011,3
04017000019,3
04017000050,3
04017000051,3
04017000030,3
04017000014,3
04017000013,3
04017000037,3
04017000042,3
04017000017,3
04017000048,3
04017000023,3
04017000035,3
04017000061,3
04017000027,3
04017000031,3
04017000026,3
04017000028,3
04017000021,3
04013000541,6
04013000611,6
04013000523,6
04013000612,6
04013000358,6
04013000735,6
04013000467,6
04013000178,6
04013000210,6
04013000211,6
04013000517,6
04013000488,6
04013000455,6
04013000083,6
04013000035,6
04013000372,6
04013000265,5
04013000650,6
04013000729,5
04013000226,5
04013000074,5
04013000294,5
04013000163,5
04013000053,5
04013000583,4
04013000299,4
04013000256,4
04013000428,4
04013000029,4
04013000564,4
04013000065,4
04013000228,4
04013000524,4
04013000291,4
04013000671,4
04013000316,4
04013000405,4
04013000723,4
04013000561,4
04013000664,4
04013000728,4
04013000007,4
04013000234,4
04013000437,4
04013000727,4
04013000205,4
04013000687,4
04013000062,4
04013000709,4
04013000464,4
04013000646,4
04013000685,4
04013000143,4
04013000369,4
04013000174,4
04013000715,4
04013000288,4
04013000182,4
04013000740,4
04013000067,4
04013000439,4
04013000701,4
04013000352,4
04013000049,5
04013000714,4
04013000183,5
04013000521,5
04013000206,4
04013000149,4
04013000244,5
04013000748,4
04013000430,5
04013000384,5
04013000435,4
04013000285,5
04013000043,5
04013000487,4
04013000597,5
04013000629,4
04013000325,4
04013000030,5
04013000706,9
04013000557,4
04013000333,9
04013000716,4
04013000150,4
04013000334,9
04013000020,9
04013000057,4
04013000536,4
04013000006,9
04013000002,9
04013000273,9
04013000015,9
04013000330,4
04013000713,9
04013000077,9
04013000658,9
04013000059,9
04013000590,9
04013000177,9
04013000023,9
04013000423,4
04013000033,9
04013000130,4
04013000054,4
04013000089,9
04013000347,4
04013000303,4
04013000386,4
04013000216,9
04013000270,4
04013000351,4
04013000661,9
04013000219,9
04013000621,4
04013000610,9
04013000636,4
04013000353,9
04013000051,4
04013000703,9
04013000483,4
04013000603,4
04013000277,4
04013000153,4
04013000578,9
04013000013,4
04013000526,9
04013000284,4
04013000659,4
04013000533,4
04013000404,9
04013000342,9
04013000745,9
04013000269,4
04013000676,4
04013000737,4
04013000420,4
04013000579,4
04013000555,9
04013000704,4
04013000490,4
04013000014,4
04013000673,5
04013000648,5
04013000266,5
04013000540,5
04013000700,5
04013000271,5
04013000082,5
04013000086,5
04013000444,5
04013000180,5
04013000113,5
04013000741,5
04013000292,5
04013000395,5
04013000662,5
04013000250,5
04013000168,5
04013000677,5
04013000196,5
04013000060,5
04013000489,5
04013000666,5
04013000506,5
04013000377,5
04013000375,5
04013000208,5
04013000179,5
04013000272,5
04013000507,5
04013000167,5
04013000319,5
04013000559,5
04013000314,5
04013000238,5
04013000470,5
04013000594,5
04013000239,5
04013000264,5
04013000240,5
04013000298,5
04013000722,5
04013000600,5
04013000425,5
04013000665,5
04013000191,5
04013000596,5
04013000625,5
04013000096,5
04013000447,5
04013000527,5
04013000151,5
04013000552,5
04013000004,5
04013000052,5
04013000056,5
04013000175,8
04013000050,8
04013000588,8
04013000592,8
04013000131,5
04013000276,8
04013000732,5
04013000514,8
04013000018,8
04013000591,8
04013000480,8
04013000683,8
04013000515,8
04013000736,8
04013000438,8
04013000663,5
04013000599,5
04013000432,8
04013000173,8
04013000169,5
04013000547,5
04013000436,8
04013000593,8
04013000242,8
04013000373,8
04013000484,5
04013000109,5
04013000081,8
04013000278,8
04013000699,8
04013000064,5
04013000225,8
04013000148,5
04013000055,8
04013000422,8
04013000633,5
04013000108,5
04013000537,5
04013000070,5
04013000279,5
04013000529,5
04013000379,5
04013000359,5
04013000024,5
04013000468,5
04013000155,5
04013000252,5
04013000233,5
04013000232,5
04013000672,5
04013000243,5
04013000198,5
04013000262,5
04013000080,5
04013000365,5
04013000410,5
04013000504,5
04013000171,5
04013000570,5
04013000492,5
04013000429,5
04013000195,7
04013000361,5
04013000580,5
04013000531,5
04013000170,7
04013000519,5
04013000571,5
04013000411,5
04013000442,5
04013000104,7
04013000647,5
04013000345,5
04013000032,5
04013000073,8
04013000587,8
04013000462,7
04013000120,7
04013000478,7
04013000573,5
04013000132,8
04013000486,5
04013000115,7
04013000452,8
04013000440,8
04013000305,5
04013000017,8
04013000746,8
04013000304,5
04013000323,8
04013000390,7
04013000019,8
04013000199,8
04013000460,8
04013000328,5
04013000473,8
04013000263,8
04013000116,8
04013000449,8
04013000215,8
04013000293,8
04013000329,8
04013000653,8
04013000733,8
04013000651,8
04013000652,5
04013000021,5
04013000522,5
04013000696,5
04013000114,5
04013000095,5
04013000230,5
04013000036,5
04013000584,5
04013000660,5
04013000577,5
04013000505,5
04013000318,5
04013000200,5
04013000534,5
04013000337,5
04013000078,6
04013000112,5
04013000038,5
04013000674,5
04013000634,5
04013000366,5
04013000301,6
04013000566,6
04013000563,5
04013000568,5
04013000022,5
04013000668,5
04013000147,5
04013000026,5
04013000383,5
04013000688,5
04013000223,5
04013000518,6
04013000724,6
04013000576,6
04013000302,6
04013000679,6
04013000586,6
04013000327,6
04013000258,6
04013000654,6
04013000558,6
04013000494,6
04013000157,6
04013000222,6
04013000005,6
04013000416,6
04013000511,6
04013000061,6
04013000025,6
04013000669,6
04013000101,6
04013000364,6
04013000640,6
04013000122,6
04013000220,6
04013000356,7
04013000117,7
04013000253,7
04013000415,7
04013000446,7
04013000245,7
04013000357,6
04013000165,6
04013000126,6
04013000691,6
04013000088,6
04013000443,6
04013000441,7
04013000565,6
04013000241,7
04013000331,6
04013000042,6
04013000624,6
04013000255,6
04013000595,6
04013000129,6
04013000477,6
04013000257,6
04013000275,6
04013000287,6
04013000457,6
04013000296,6
04013000201,6
04013000417,6
04013000094,6
04013000508,6
04013000159,6
04013000512,6
04013000381,6
04013000535,6
04013000031,6
04013000289,6
04013000642,6
04013000409,6
04013000532,6
04013000503,6
04013000111,6
04013000418,6
04013000471,6
04013000450,6
04013000516,6
04013000118,6
04013000496,6
04013000235,6
04013000281,6
04013000098,6
04013000569,6
04013000217,6
04013000010,6
04013000154,6
04013000203,6
04013000543,6
04013000128,6
04013000091,6
04013000743,6
04013000346,6
04013000324,6
04013000708,6
04013000063,6
04013000721,6
04013000426,6
04013000194,6
04013000105,6
04013000692,6
04013000202,6
04013000622,6
04013000711,6
04013000451,7
04013000236,6
04013000254,6
04013000066,7
04013000380,7
04013000187,6
04013000127,7
04013000193,7
04013000454,7
04013000641,7
04013000144,7
04013000231,6
04013000419,6
04013000307,6
04013000376,7
04013000414,7
04013000336,7
04013000632,7
04013000246,7
04013000172,7
04013000394,7
04013000739,7
04013000139,7
04013000085,7
04013000011,7
04013000079,7
04013000348,7
04013000705,7
04013000681,7
04013000135,7
04013000097,7
04013000717,7
04013000280,7
04013000530,7
04013000476,7
04013000581,7
04013000553,7
04013000310,7
04013000207,7
04013000190,7
04013000461,7
04013000498,7
04013000197,7
04013000686,7
04013000218,7
04013000697,7
04013000509,7
04013000572,7
04013000008,7
04013000616,7
04013000247,7
04013000615,7
04013000354,7
04013000229,7
04013000076,7
04013000546,7
04013000607,7
04013000614,7
04013000617,7
04013000606,7
04013000028,7
04013000119,7
04013000618,7
04013000237,7
04013000360,7
04013000092,7
04013000605,7
04013000619,7
04013000475,7
04013000589,7
04013000039,7
04013000071,7
04013000227,7
04013000427,7
04013000694,7
04013000549,7
04013000639,7
04013000539,7
04013000332,7
04013000321,7
04013000224,7
04013000431,7
04013000166,7
04013000481,7
04013000297,7
04013000598,7
04013000274,7
04013000613,7
04013000649,7
04013000548,7
04013000102,7
04013000620,7
04013000315,7
04013000047,7
04013000306,7
04013000385,7
04013000311,7
04013000248,7
04013000667,7
04013000040,7
04013000140,7
04013000698,7
04013000249,7
04013000502,7
04013000413,7
04013000657,7
04013000562,7
04013000320,7
04013000689,7
04013000152,7
04013000213,7
04013000412,7
04013000725,7
04013000027,7
04013000627,7
04013000041,7
04013000556,7
04013000469,7
04013000501,7
04013000499,7
04013000408,7
04013000339,7
04013000317,7
04013000726,7
04013000261,7
04013000338,7
04013000382,7
04013000453,7
04013000045,7
04013000048,7
04013000747,7
04013000399,7
04013000204,7
04013000084,8
04013000290,7
04013000295,7
04013000106,8
04013000286,8
04013000675,8
04013000655,8
04013000623,8
04013000214,8
04013000142,8
04013000421,8
04013000001,8
04013000344,8
04013000393,8
04013000034,8
04013000212,8
04013000260,8
04013000602,8
04013000406,8
04013000445,8
04013000551,8
04013000341,8
04013000463,8
04013000742,8
04013000110,8
04013000403,8
04013000554,8
04013000396,8
04013000456,8
04013000631,8
04013000400,8
04013000609,8
