GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
3700100012S,13,2785,1956,658,591,674,54,23,0,517.1666666666666,216.33333333333334
3700100012W,13,2828,2289,1634,193,366,58,31,7,844.8333333333334,648.6666666666666
370010003N2,13,829,791,769,7,7,4,3,0,373.1666666666667,248.66666666666666
37001001210,13,3115,2413,1278,242,797,54,54,7,720.1666666666666,596.0
3700300000E,8,3154,2563,2362,30,118,36,16,1,424.8333333333333,1404.8333333333333
3700300000M,8,2650,2039,1676,170,128,45,23,1,297.3333333333333,945.3333333333334
3700300000W,8,2242,1835,1676,48,23,50,29,0,254.16666666666666,1077.3333333333333
370030000B1,8,3768,3088,2809,86,46,54,74,1,515.5,1749.0
370030000B2,8,4510,3594,3277,58,80,90,58,0,593.6666666666666,2028.0
3700300G1G2,8,2154,1696,1542,68,38,46,7,1,252.83333333333334,971.3333333333334
3700300LRSL,8,2546,2066,1916,43,51,43,12,1,273.8333333333333,1246.8333333333333
3700300S1S2,8,4216,3320,2840,236,149,90,17,0,421.0,1586.6666666666667
3700300T2T3,8,4107,3215,2637,175,289,68,38,2,603.6666666666666,1452.0
37003T1T4T5,8,7097,5857,4504,249,894,108,78,2,693.6666666666666,2154.1666666666665
37005000001,8,1563,1304,1199,63,15,25,1,2,254.5,694.5
37005000004,8,2001,1621,1374,193,24,27,6,0,224.16666666666666,793.3333333333334
3700500003A,8,5192,4239,3586,488,75,80,23,5,782.5,1784.5
3700500006A,8,2132,1778,1612,121,8,36,2,4,301.3333333333333,802.3333333333334
370070000MM,10,1480,1194,357,46,777,18,5,3,663.6666666666666,185.5
370070000WS,10,474,364,192,37,128,1,13,2,94.66666666666667,132.16666666666666
37007000ANS,10,1370,1109,680,19,393,21,10,1,346.3333333333333,395.3333333333333
3700700BURN,10,1732,1383,1089,45,214,24,13,3,253.66666666666666,740.6666666666666
3700700GULL,10,1267,1065,468,16,559,11,11,3,423.5,308.1666666666667
3700700LILE,10,2864,2296,1060,29,1144,73,11,3,983.0,615.0
3700700PEAC,10,1733,1381,1105,62,172,23,19,1,199.83333333333334,692.1666666666666
3700700POLK,10,1455,1130,643,33,424,16,13,2,272.3333333333333,349.6666666666667
370070WADES,10,9680,7923,3313,167,4268,114,108,8,2670.1666666666665,1427.3333333333333
37009000002,8,1665,1357,1277,44,11,16,7,2,217.83333333333334,697.1666666666666
37009000003,8,598,482,457,9,9,6,0,0,73.16666666666667,284.0
37009000004,8,586,491,463,12,2,10,5,0,142.0,220.33333333333334
37009000006,8,640,538,502,4,1,29,0,0,92.66666666666667,274.3333333333333
37009000007,8,592,470,446,11,1,10,0,0,76.66666666666667,180.83333333333334
37009000008,8,269,226,208,12,1,7,0,0,50.166666666666664,90.5
37009000009,8,4736,3920,3529,249,45,84,17,2,746.5,1688.3333333333333
37009000010,8,367,304,296,1,1,4,3,1,41.833333333333336,127.16666666666667
37009000011,8,2817,2321,2024,190,25,48,17,0,408.1666666666667,994.3333333333334
37009000012,8,880,736,696,12,3,16,7,1,139.0,336.6666666666667
37009000013,8,1299,1103,1066,15,2,14,6,0,226.66666666666666,629.6666666666666
37009000014,8,2796,2383,2226,83,6,48,11,0,566.3333333333334,1197.8333333333333
37009000015,8,1176,986,919,38,8,14,1,2,137.0,512.0
37009000016,8,2590,2102,1968,71,16,31,12,2,444.6666666666667,1100.8333333333333
37009000017,8,1072,899,847,10,6,15,2,0,124.5,451.8333333333333
37009000018,8,241,195,184,3,1,3,4,0,29.5,82.83333333333333
37009000020,8,4253,3471,3112,243,33,74,22,5,668.8333333333334,1518.6666666666667
37011000001,8,1123,912,798,67,2,34,13,2,162.0,533.8333333333334
37011000002,8,3293,2879,2568,144,67,66,26,2,559.3333333333334,1027.5
37011000003,8,601,495,467,9,4,11,4,1,51.166666666666664,289.8333333333333
37011000004,8,153,120,96,16,4,5,1,0,20.833333333333332,45.333333333333336
37011000005,8,512,410,374,21,7,6,2,0,37.666666666666664,194.83333333333334
37011000006,8,1255,981,924,34,4,21,2,1,89.33333333333333,437.0
37011000007,8,286,223,204,6,5,7,0,0,14.5,165.16666666666666
37011000008,8,337,268,244,16,1,8,2,1,38.333333333333336,193.16666666666666
37011000009,8,439,355,333,15,4,2,1,0,34.666666666666664,233.0
37011000010,8,2872,2675,1983,86,570,33,7,0,116.5,457.8333333333333
37011000011,8,641,565,512,26,4,19,2,0,126.66666666666667,270.0
37011000012,8,371,309,284,18,3,6,1,0,25.0,189.16666666666666
37011000013,8,601,527,485,26,7,8,3,0,103.83333333333333,278.5
37011000014,8,1147,926,860,34,5,20,1,2,136.0,523.0
37011000015,8,1052,837,720,61,21,23,5,0,106.16666666666667,400.8333333333333
37011000016,8,1562,1371,1267,79,5,7,6,1,326.0,733.3333333333334
37011000017,8,656,527,506,4,2,13,2,0,49.166666666666664,332.1666666666667
37011000018,8,438,360,330,16,3,10,2,0,33.833333333333336,208.0
37011000019,8,467,364,347,9,0,7,1,0,19.333333333333332,195.33333333333334
370130000HB,6,1092,854,720,33,78,18,8,0,87.16666666666667,539.0
3701300BLCK,6,956,861,636,12,193,10,3,1,291.6666666666667,391.5
3701300NCRK,6,1571,1364,1230,23,93,9,2,0,264.6666666666667,767.5
3701300OLDF,6,1924,1583,1023,83,443,27,8,2,495.5,612.5
3701300RVRD,6,3080,2430,1617,346,427,33,8,3,573.5,986.0
3701300TCRK,6,3242,2586,1920,166,421,50,28,4,512.8333333333334,1262.6666666666667
3701300WDPD,6,2104,1654,1387,107,140,12,2,0,269.0,889.3333333333334
370130AUROR,6,1301,1079,599,20,449,13,2,0,453.5,354.5
370130BEADM,6,2346,1885,1574,153,128,24,7,1,207.83333333333334,1092.6666666666667
370130BELHV,6,1983,1639,930,85,610,16,6,1,526.5,609.6666666666666
370130CHOCO,6,5498,4281,2939,281,960,86,18,0,935.0,1770.0
370130EDWAR,6,1312,1043,650,26,338,34,4,3,287.5,397.0
370130GILEA,6,2238,2035,1802,19,171,23,15,0,586.3333333333334,1081.6666666666667
370130PANTE,6,1580,1246,787,109,347,9,1,0,284.6666666666667,537.8333333333334
370130PINET,6,1168,927,809,40,67,10,3,0,88.5,599.1666666666666
370130PSJW3,6,2135,1568,490,110,931,22,12,0,734.6666666666666,249.5
370130SURBA,6,2266,1862,1724,33,70,38,11,3,346.5,1133.0
370130WASH1,6,2058,1672,832,72,731,29,20,3,689.1666666666666,400.3333333333333
370130WASH2,6,2143,1672,674,93,867,16,24,1,686.1666666666666,311.1666666666667
370130WASH4,6,3160,2544,1664,207,631,31,19,1,730.8333333333334,833.3333333333334
370130WASHP,6,1495,1220,910,92,188,18,7,1,367.3333333333333,559.3333333333334
370150000C1,6,1139,952,474,17,457,9,1,2,271.3333333333333,362.0
370150000C2,6,1712,1424,409,41,981,10,3,0,725.0,304.8333333333333
370150000IW,6,421,340,27,4,303,6,0,0,218.33333333333334,26.666666666666668
370150000M1,6,939,748,338,3,395,9,4,1,268.5,281.3333333333333
370150000M2,6,1123,860,317,24,505,14,7,0,325.5,195.0
370150000MH,6,872,751,354,8,381,8,5,2,335.0,245.0
370150000RX,6,1310,1081,262,22,787,16,4,2,583.3333333333334,175.16666666666666
370150000SN,6,1026,852,163,21,664,5,3,1,467.5,107.5
370150000W1,6,6262,5279,1596,93,3433,104,58,5,1778.6666666666667,888.5
370150000W2,6,846,707,664,7,14,19,2,1,38.333333333333336,497.8333333333333
370150000WD,6,1011,807,115,10,676,11,0,0,507.6666666666667,66.83333333333333
370150000WH,6,1273,1095,670,11,405,7,4,0,337.0,444.5
37017000P10,5,939,742,466,17,234,29,4,0,177.5,319.3333333333333
37017000P15,5,3766,2894,1858,354,576,110,14,3,561.5,1418.1666666666667
37017000P25,5,1394,1099,591,46,445,31,2,0,403.3333333333333,369.5
37017000P30,5,1540,1300,253,30,786,257,1,4,755.1666666666666,198.66666666666666
37017000P35,5,979,763,320,116,310,25,1,0,271.1666666666667,198.33333333333334
37017000P40,5,1972,1604,1168,94,300,41,5,3,364.0,805.8333333333334
37017000P45,5,783,594,395,74,109,20,1,1,114.16666666666667,228.33333333333334
37017000P55,5,848,650,330,45,243,39,7,2,231.33333333333334,226.33333333333334
37017000P60,5,2033,1598,730,174,617,80,5,0,572.0,495.8333333333333
37017000P65,5,770,630,446,55,113,18,0,0,152.0,315.3333333333333
37017000P70,5,605,454,251,49,134,24,3,2,170.5,166.16666666666666
37017000P75,5,1474,1208,396,24,725,72,8,0,587.0,254.33333333333334
37017000P80,5,1533,1205,682,125,356,38,9,5,318.0,453.6666666666667
3701700P201,5,1752,1408,1156,25,185,37,9,0,244.66666666666666,824.3333333333334
3701700P202,5,3379,2631,1814,137,590,93,9,0,500.8333333333333,1254.1666666666667
3701700P501,5,3497,2706,1305,119,1236,58,18,2,1185.8333333333333,876.3333333333334
3701700P502,5,2342,1940,896,74,935,41,7,1,723.1666666666666,518.5
37019000001,4,2733,2112,1306,156,574,82,9,5,540.8333333333334,701.0
37019000002,4,10721,8583,6103,722,1405,220,94,18,2335.1666666666665,2750.0
37019000003,4,2579,2009,1138,211,576,55,36,0,669.6666666666666,489.1666666666667
37019000005,4,6095,4713,3634,257,590,177,35,2,959.8333333333334,1932.0
37019000006,4,2308,1890,1314,54,459,48,10,0,387.8333333333333,728.5
37019000007,4,4116,3563,3146,100,205,82,32,0,1080.8333333333333,1481.5
37019000008,4,6325,5575,4934,119,286,109,64,5,1634.5,2416.6666666666665
37019000009,4,1196,1128,1058,14,12,22,17,0,348.0,558.1666666666666
37019000011,4,3920,3024,1882,148,858,115,22,1,797.0,914.8333333333334
37019000012,4,3837,3346,2982,71,189,80,10,3,690.8333333333334,1660.1666666666667
37019000013,4,5725,4555,3503,320,556,155,28,4,834.1666666666666,1598.6666666666667
37019000014,4,5441,4640,4150,145,174,104,36,6,1003.8333333333334,2438.5
37019000015,4,8144,7184,6305,385,262,156,57,6,1670.6666666666667,3456.1666666666665
37019000016,4,5689,5298,4941,140,92,61,47,6,1436.6666666666667,2592.0
37019000017,4,7259,6534,5372,187,838,115,41,4,1800.6666666666667,2974.3333333333335
37019000018,4,2977,2282,1829,239,150,60,6,4,329.5,1009.6666666666666
37019000019,4,6031,5488,4970,178,142,102,58,4,1302.5,2586.0
37019000020,4,4976,4353,3922,162,94,116,17,1,738.0,1928.1666666666667
37019000021,4,6403,5140,4530,150,196,185,35,1,969.5,2362.1666666666665
37019000022,4,3334,3042,2824,62,33,79,21,4,777.0,1454.1666666666667
37019000023,4,3490,3153,2971,31,44,68,23,4,829.0,1521.8333333333333
3701900004A,4,13732,11517,9571,409,1081,179,196,17,3693.0,4401.166666666667
3701900010A,4,5049,4365,3792,104,305,79,45,2,1091.0,2067.0
3701900010B,4,5896,5811,5571,71,31,42,49,0,1972.6666666666667,2961.6666666666665
370190004B2,4,8717,7301,5877,377,764,125,118,5,2364.1666666666665,2922.6666666666665
370210001.1,3,2982,2752,2056,116,496,46,38,4,1392.8333333333333,212.16666666666666
370210002.1,3,4207,3339,2395,91,679,79,50,25,2280.6666666666665,159.5
370210003.1,3,2753,2409,2020,114,169,48,44,3,1686.6666666666667,139.33333333333334
370210004.1,3,1668,1402,1236,44,56,22,28,5,1033.8333333333333,173.5
370210005.1,3,3057,2504,2282,79,33,12,42,2,1702.1666666666667,509.8333333333333
370210006.1,3,1795,1499,1256,98,95,22,21,0,903.5,276.5
370210007.1,3,2266,1875,1544,75,156,41,31,4,1283.5,197.16666666666666
370210008.2,3,4358,3451,1974,596,673,126,99,7,1498.5,446.8333333333333
370210008.3,3,3785,3164,2176,219,641,90,63,13,1516.0,454.1666666666667
370210009.1,3,5654,4654,3547,289,600,106,102,8,2135.1666666666665,672.8333333333334
370210010.1,3,2139,1643,801,57,704,31,21,14,994.1666666666666,75.83333333333333
370210011.1,3,1924,1785,1236,65,430,30,28,3,927.3333333333334,109.83333333333333
370210012.1,3,2853,2337,1968,128,111,61,51,5,1582.5,206.16666666666666
370210013.1,3,3309,2650,2021,145,362,64,47,8,1523.1666666666667,212.66666666666666
370210014.2,3,3333,2644,1869,256,377,77,63,15,1415.5,298.6666666666667
370210014.3,3,2241,1841,1395,143,190,53,60,10,737.1666666666666,221.0
370210015.1,3,2632,2146,1884,78,73,56,33,0,1519.6666666666667,271.6666666666667
370210016.2,3,4027,3174,2456,266,251,93,59,26,1837.1666666666667,424.0
370210017.1,3,1843,1622,1403,57,97,12,34,0,1103.1666666666667,232.33333333333334
370210018.2,3,6719,5601,4687,299,240,104,231,8,2489.3333333333335,1480.1666666666667
370210019.1,3,2463,2209,1684,175,223,34,76,4,779.5,362.8333333333333
370210020.1,3,1274,1069,859,49,110,18,18,9,716.1666666666666,131.0
370210021.1,3,3740,3061,2365,99,429,58,68,6,1551.1666666666667,557.3333333333334
370210022.2,3,2640,2273,2107,64,33,25,15,4,1557.8333333333333,414.1666666666667
370210023.2,3,646,574,493,17,23,19,15,1,311.1666666666667,119.66666666666667
370210023.3,3,996,805,740,23,13,12,8,0,526.8333333333334,209.0
370210024.1,3,3652,2810,2248,253,166,85,62,5,1136.5,710.1666666666666
370210025.1,3,3169,2737,2238,133,213,63,54,5,1255.3333333333333,503.0
370210026.1,3,2767,2240,1785,226,134,49,43,2,1101.1666666666667,312.8333333333333
370210027.2,3,953,830,785,9,11,7,11,0,525.0,159.5
370210028.1,3,3545,3257,2597,208,217,53,124,9,1608.5,198.83333333333334
370210029.2,3,4049,3465,2860,158,271,59,71,24,1568.5,771.0
