GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
370510G9B-2,5,7464,5081,2559,478,1604,313,165,20,1557.5,1593.1666666666667
37051CL57-1,5,4586,3474,1057,431,1801,106,156,46,1560.3333333333333,573.6666666666666
37051CL57-2,5,4510,3322,783,424,1990,106,116,27,1699.8333333333333,437.0
37051EO61-1,5,4148,3215,2182,124,762,96,54,10,798.5,1434.3333333333333
37051EO61-2,5,2661,2077,1246,92,630,72,30,6,629.3333333333334,918.6666666666666
37051SL78-3,5,9935,7518,2348,1078,3653,234,390,68,2301.8333333333335,731.3333333333334
370530000CB,6,298,273,235,15,4,8,5,0,60.666666666666664,102.33333333333333
370530000CH,6,5384,4130,3669,126,135,110,58,13,616.3333333333334,2303.6666666666665
370530000CI,6,301,271,254,3,4,8,2,0,46.333333333333336,167.5
370530000CJ,6,1160,915,678,32,154,33,11,2,148.83333333333334,326.8333333333333
370530000GW,6,432,355,322,3,8,10,9,0,38.5,187.66666666666666
370530000IR,6,1707,1290,1022,56,135,50,20,3,222.66666666666666,702.8333333333334
370530000KI,6,1486,1210,1115,23,3,38,17,3,133.83333333333334,607.1666666666666
370530000MY,6,8533,6357,5310,207,494,163,153,16,975.8333333333334,3223.3333333333335
370530000PB,6,5288,4202,3592,166,199,170,48,10,813.1666666666666,1849.3333333333333
370530000PP,6,2352,1922,1637,94,120,31,8,4,400.1666666666667,859.1666666666666
370530000WH,6,1159,1079,990,38,23,8,15,2,284.0,345.5
370550000EL,6,124,100,86,13,1,0,0,0,13.333333333333334,45.5
370550000MH,6,819,647,541,74,6,23,8,2,98.0,265.8333333333333
37055000BUX,6,1340,1114,1005,62,11,31,7,0,272.1666666666667,544.8333333333334
37055000COL,6,4439,3606,3278,131,34,77,49,8,1074.5,1506.5
37055000HAT,6,577,476,451,9,4,7,7,0,138.0,249.5
37055000KDH,6,7656,6299,5502,419,101,121,112,8,1756.1666666666667,2349.0
37055000WAN,6,1522,1198,1072,59,22,25,9,1,177.16666666666666,619.5
3705500AVON,6,832,728,677,26,7,8,7,0,220.66666666666666,331.6666666666667
3705500CHCA,6,688,582,551,7,6,11,4,1,229.33333333333334,237.0
3705500DUCK,6,742,684,644,14,3,3,9,2,229.0,244.16666666666666
3705500FRCO,6,835,754,717,18,2,11,1,1,200.83333333333334,395.0
3705500KTHK,6,3689,2982,2734,117,34,57,35,8,860.1666666666666,1400.3333333333333
3705500MATO,6,6532,5232,4120,549,411,138,38,7,1557.8333333333333,2020.6666666666667
3705500NGHD,6,3182,2732,2513,84,37,43,30,3,916.6666666666666,1059.1666666666667
3705500SOSH,6,3720,3148,2962,52,25,47,39,2,1203.1666666666667,1486.1666666666667
3705500STPT,6,218,163,152,1,1,10,0,0,18.666666666666668,91.83333333333333
37057000004,12,7612,6042,5324,160,362,99,76,6,1205.1666666666667,3308.8333333333335
37057000006,12,4935,3735,3231,228,115,132,16,5,368.5,1749.6666666666667
37057000008,12,1575,1235,1042,70,66,25,23,1,221.33333333333334,566.8333333333334
37057000010,12,3916,3075,2592,150,174,75,76,1,467.5,1377.3333333333333
37057000012,12,1321,1030,975,14,7,17,7,2,116.66666666666667,480.6666666666667
37057000014,12,2662,2174,2078,34,10,41,6,0,187.16666666666666,1264.0
37057000016,12,4598,3581,3118,198,123,87,49,5,432.0,1940.5
37057000018,12,2631,2210,2093,25,22,33,12,0,274.1666666666667,1258.1666666666667
37057000020,12,3890,3071,2838,78,32,98,23,0,351.1666666666667,1723.3333333333333
37057000022,12,1732,1338,1092,78,100,12,48,0,160.83333333333334,525.8333333333334
37057000024,12,2284,1782,1340,194,85,33,119,0,254.5,775.3333333333334
37057000026,12,1682,1315,1080,48,122,25,47,1,278.8333333333333,614.3333333333334
37057000028,12,4237,3317,2661,182,320,76,77,5,573.6666666666666,1391.5
37057000030,12,3498,2597,783,397,1379,44,29,1,991.5,225.66666666666666
37057000032,12,2763,2041,986,446,476,105,53,0,442.8333333333333,348.1666666666667
37057000034,12,3503,2723,1501,366,538,98,230,0,614.0,586.0
37057000036,12,2335,1883,1169,209,409,53,51,5,499.8333333333333,338.8333333333333
37057000038,12,2837,1966,586,391,910,59,57,0,561.1666666666666,160.0
37057000040,12,3166,2681,1831,219,533,65,39,3,708.1666666666666,717.8333333333334
37057000042,12,3897,3061,2803,121,40,83,12,2,218.83333333333334,1570.1666666666667
37057000044,12,5203,4160,3547,78,421,68,33,9,836.6666666666666,2245.8333333333335
37057000046,12,3796,2999,2594,115,153,88,31,3,440.1666666666667,1550.0
37057000048,12,3696,2912,2632,96,84,62,38,3,363.6666666666667,1544.8333333333333
37057000050,12,5086,4013,3687,129,70,97,28,5,431.0,2236.3333333333335
37057000052,12,6077,4936,4571,119,61,101,62,7,654.0,2691.3333333333335
37057000054,12,2795,2312,2189,55,20,37,3,0,138.16666666666666,1225.1666666666667
37057000056,12,1716,1413,1360,17,9,21,2,2,136.16666666666666,839.8333333333334
37057000058,12,4578,3767,3387,95,156,103,16,1,539.8333333333334,1888.0
37057000060,12,7327,5539,3708,785,812,162,102,6,1115.3333333333333,1966.6666666666667
37057000062,12,3444,2546,846,501,1125,70,22,1,668.6666666666666,293.1666666666667
37057000064,12,2957,2088,687,351,1019,29,18,2,721.3333333333334,241.0
37057000066,12,3417,2579,1578,414,464,86,50,0,476.5,645.0
37057000068,12,3943,3065,1747,507,665,100,85,6,642.8333333333334,819.8333333333334
37057000070,12,3300,2611,2201,153,141,87,32,4,347.5,1438.8333333333333
37057000072,12,4124,3118,2697,165,135,70,53,5,426.6666666666667,1773.1666666666667
37057000074,12,5637,4546,4149,170,102,101,22,2,516.8333333333334,2349.1666666666665
37057000076,12,4462,3520,3044,178,129,101,58,4,423.3333333333333,1964.6666666666667
37057000078,12,5044,3879,3406,158,149,121,25,0,488.0,1978.8333333333333
37057000082,12,3953,3155,2814,77,91,65,94,1,426.0,1682.8333333333333
37057000084,12,7336,5865,5156,200,315,130,70,0,1151.8333333333333,3007.6666666666665
37057000088,12,3622,2827,2177,217,274,79,97,1,541.6666666666666,1392.6666666666667
3705700080A,12,6772,5284,4879,138,94,103,63,3,763.8333333333334,3290.1666666666665
3705700086A,12,5571,4188,2870,273,803,81,174,2,1036.5,1551.6666666666667
37059000001,8,1442,1153,934,68,96,37,3,0,206.5,641.1666666666666
37059000002,8,1652,1291,1104,98,57,34,3,0,189.66666666666666,634.0
37059000003,8,3699,2968,2564,195,125,83,14,3,382.3333333333333,1599.5
37059000004,8,3380,2511,1875,306,245,76,18,2,320.6666666666667,855.8333333333334
37059000005,8,3304,2646,2346,126,98,56,14,0,452.8333333333333,1510.0
37059000006,8,2296,1813,1602,47,96,53,6,1,314.3333333333333,952.1666666666666
37059000007,8,2434,1944,1631,113,148,24,21,2,333.1666666666667,1053.5
37059000008,8,3540,2702,1786,358,479,91,30,2,727.0,887.5
37059000009,8,3457,2651,1961,305,274,95,33,2,544.0,1128.6666666666667
37059000010,8,3232,2547,2324,63,67,54,27,0,530.3333333333334,1465.5
37059000011,8,2323,1895,1714,76,43,50,11,0,274.0,1068.6666666666667
37059000012,8,4723,3775,3421,98,139,58,46,4,797.5,2169.0
37059000013,8,3911,3278,2941,94,117,47,74,2,887.0,1768.0
37059000014,8,3319,2610,2216,149,179,58,18,0,467.6666666666667,1258.1666666666667
3706100ALBE,4,2791,2005,1036,793,157,52,4,0,217.33333333333334,691.3333333333334
3706100BEUL,4,4309,3368,2715,215,354,78,23,3,417.0,1705.5
3706100CALY,4,1212,903,590,159,130,32,10,2,170.16666666666666,415.8333333333333
3706100CFRK,4,1054,831,717,47,45,16,5,0,72.83333333333333,461.0
3706100CHAR,4,2033,1531,614,242,658,15,5,2,546.0,382.3333333333333
3706100CHIN,4,1111,907,687,38,162,13,9,0,167.0,480.0
3706100CYCK,4,1766,1392,1174,66,131,24,8,2,151.16666666666666,799.5
3706100FAIS,4,2355,1791,782,509,484,38,7,3,447.1666666666667,506.1666666666667
3706100GLIS,4,1191,902,595,244,48,30,0,0,101.83333333333333,393.1666666666667
3706100HALL,4,1984,1493,925,131,417,14,11,1,351.8333333333333,575.3333333333334
3706100KENA,4,4641,3613,1703,503,1325,57,23,9,1128.0,1002.0
3706100LOCK,4,485,401,262,32,97,9,2,1,60.666666666666664,195.33333333333334
3706100MAGN,4,2554,1863,637,658,565,40,6,2,518.8333333333334,395.0
3706100ROCK,4,1467,1140,594,178,353,24,1,1,310.5,393.1666666666667
3706100ROSE,4,2789,2088,933,453,687,41,18,1,594.3333333333334,594.8333333333334
3706100SMCA,4,1949,1444,1064,157,213,28,5,0,168.0,678.1666666666666
3706100WALL,4,6933,5347,2807,932,1533,83,40,0,1599.8333333333333,1655.1666666666667
3706100WARS,4,5137,3864,1211,677,1939,77,28,8,1364.5,753.8333333333334
3706100WOLF,4,2954,2160,1303,667,130,101,16,3,255.83333333333334,816.6666666666666
37063000001,11,2612,1980,666,608,637,43,52,0,894.3333333333334,81.5
37063000002,11,4746,4212,1527,411,2063,69,199,4,2133.5,200.16666666666666
37063000003,11,3395,3105,2162,300,154,38,437,2,1941.0,190.16666666666666
37063000004,11,2022,1578,1260,121,105,39,69,3,1215.0,138.33333333333334
37063000005,11,11402,10381,2520,1075,4666,117,2030,9,3078.0,348.8333333333333
37063000006,11,3220,2500,1232,507,572,43,173,1,1495.0,110.5
37063000007,11,3337,2981,2123,272,308,50,250,7,1855.1666666666667,158.83333333333334
37063000008,11,3736,3106,1339,323,1187,49,230,2,1899.8333333333333,125.66666666666667
37063000009,11,3417,2622,1476,242,787,46,87,3,1898.1666666666667,252.16666666666666
37063000010,11,3357,2803,957,256,1428,50,135,6,1343.6666666666667,93.5
37063000012,11,1027,817,81,117,611,23,12,1,453.0,25.666666666666668
37063000013,11,2365,1462,64,232,1150,22,16,0,700.6666666666666,28.333333333333332
37063000014,11,4535,3228,645,748,1774,96,61,2,1346.5,141.33333333333334
37063000015,11,2723,2047,358,605,1045,54,33,1,938.0,72.83333333333333
37063000016,11,2853,2396,1535,132,563,35,140,3,1508.5,297.6666666666667
37063000017,11,5520,4294,1503,787,1855,200,138,4,2168.8333333333335,126.33333333333333
37063000018,11,5564,3877,368,1645,1841,212,35,7,1416.0,95.0
37063000019,11,5153,3886,1084,888,1827,91,57,12,2145.1666666666665,246.83333333333334
37063000020,11,2864,2358,1492,340,401,73,87,3,1578.3333333333333,92.33333333333333
37063000021,11,2667,2121,1219,380,439,41,58,1,1328.6666666666667,154.16666666666666
37063000022,11,8656,6382,1035,1279,3954,168,93,5,3250.3333333333335,222.5
37063000023,11,10357,7475,1447,1103,4629,199,276,13,4368.0,512.3333333333334
37063000024,11,6277,5090,2753,746,1340,110,217,8,2320.1666666666665,860.8333333333334
37063000025,11,4585,3689,2569,352,615,113,60,4,1386.5,1328.5
37063000026,11,1904,1559,1198,48,254,41,15,1,506.6666666666667,687.5
37063000027,11,3925,3358,2518,172,368,35,255,8,2085.8333333333335,621.3333333333334
37063000028,11,6883,6026,3468,377,2013,93,99,1,1434.5,1537.5
37063000029,11,6873,5246,1986,1168,1965,139,70,9,2215.1666666666665,1092.5
37063000031,11,8915,7096,3006,1024,2518,185,495,10,3253.3333333333335,1020.8333333333334
37063000032,11,6527,5929,4543,345,524,96,396,6,2379.1666666666665,1964.1666666666667
37063000033,11,15569,13241,5549,1029,4459,297,2067,25,5646.166666666667,1590.5
37063000036,11,5216,3960,1629,902,1151,105,256,5,2031.0,268.0
37063000037,11,7706,6306,4424,489,951,86,379,7,3181.3333333333335,1582.5
37063000038,11,11766,9546,4431,1360,2714,201,958,7,4457.666666666667,938.3333333333334
37063000039,11,4093,3145,2343,168,457,45,141,3,2187.1666666666665,747.0
37063000040,11,2916,2321,1316,293,613,59,65,2,1494.6666666666667,155.0
37063000041,11,1827,1458,74,216,1166,22,8,0,1044.6666666666667,24.0
37063000042,11,1636,1308,75,200,1025,23,11,3,923.0,23.833333333333332
37063000043,11,8972,7236,5137,431,826,102,757,10,4486.333333333333,1098.8333333333333
37063000044,11,8084,6408,4283,339,1386,101,265,7,3470.6666666666665,2009.5
37063000045,11,6643,5324,3487,435,1084,97,217,6,2832.1666666666665,1523.3333333333333
37063000046,11,6325,4781,1542,1104,1906,141,161,4,2129.8333333333335,441.0
37063000047,11,2790,2163,209,466,1461,40,50,1,1350.6666666666667,79.66666666666667
37063000048,11,2256,1845,1006,139,602,24,72,0,1272.0,256.1666666666667
37063000050,11,5837,4834,2695,493,1066,116,500,12,2525.3333333333335,647.6666666666666
37063000051,11,7058,5694,3713,346,1061,110,492,4,3942.1666666666665,742.6666666666666
37063000052,11,6711,4711,562,1560,2525,122,49,4,2240.3333333333335,223.83333333333334
37063000054,11,11592,9608,4304,854,3597,164,767,12,5157.666666666667,826.6666666666666
370630030-1,11,14985,11243,4438,1650,4368,215,676,6,5805.666666666667,1670.6666666666667
370630030-2,11,10654,8146,1973,1191,4807,186,151,5,5043.666666666667,908.0
370630034-1,11,4296,3337,1143,402,1604,58,158,2,2214.0,297.6666666666667
370630034-2,11,8371,6432,1423,806,3759,74,430,6,3833.3333333333335,370.1666666666667
370630035.3,11,12272,9659,5339,709,2398,190,1076,8,6084.666666666667,1564.1666666666667
370630053-1,11,4456,3564,2130,235,792,48,361,3,2113.0,519.6666666666666
370630053-2,11,5866,4998,3583,294,584,65,471,1,2923.1666666666665,726.8333333333334
37063055-11,11,2794,2036,163,305,1533,47,25,3,1172.8333333333333,29.666666666666668
37063055-49,11,2725,2657,34,47,2563,3,14,2,1340.8333333333333,25.0
37065000101,7,2704,2172,299,71,1770,32,11,0,1385.3333333333333,160.33333333333334
37065000102,7,4715,3775,1710,145,1863,51,23,0,1323.3333333333333,844.3333333333334
37065000103,7,3266,2635,1288,190,1128,29,19,0,839.0,830.6666666666666
37065000104,7,2938,2269,1057,85,1098,33,11,0,901.8333333333334,673.1666666666666
37065000201,7,1561,1236,579,105,541,23,0,1,440.3333333333333,397.5
37065000301,7,622,525,258,34,228,4,1,0,172.33333333333334,133.83333333333334
37065000401,7,783,628,284,18,319,3,0,0,280.0,175.33333333333334
37065000501,7,1085,815,330,146,318,27,4,2,234.5,175.5
37065000601,7,1236,1055,312,38,698,17,1,0,546.0,181.16666666666666
37065000701,7,2303,1832,479,155,1171,27,4,0,908.1666666666666,286.5
37065000801,7,2249,1739,1116,113,484,33,5,0,430.0,605.0
37065000901,7,1587,1269,953,47,242,14,17,0,228.16666666666666,601.0
37065001001,7,2875,2245,1187,86,944,23,6,1,803.1666666666666,742.5
37065001101,7,1429,1155,684,71,384,20,7,2,340.8333333333333,435.0
37065001201,7,5243,3946,202,92,3630,59,13,0,2639.8333333333335,110.0
37065001202,7,2902,2100,140,38,1920,26,6,0,1191.8333333333333,41.5
37065001203,7,4220,3272,1521,132,1582,40,8,2,1257.8333333333333,949.5
37065001204,7,2311,1694,95,36,1554,17,4,0,1154.6666666666667,54.5
37065001205,7,1543,1225,45,27,1157,9,6,1,744.3333333333334,19.833333333333332
37065001301,7,1759,1377,1041,45,269,23,6,0,300.6666666666667,587.8333333333334
37065001401,7,1569,1225,914,46,240,19,4,1,150.83333333333334,550.1666666666666
37067000011,12,6588,5078,3535,422,897,111,149,5,1644.1666666666667,2080.3333333333335
37067000012,12,3802,3023,2521,283,144,50,32,2,530.6666666666666,1506.1666666666667
37067000013,12,5576,4285,3115,281,696,97,96,3,1298.3333333333333,1782.0
37067000014,12,3112,2608,2026,167,272,58,89,3,597.5,1135.5
37067000015,12,4280,3409,2507,210,542,70,91,0,858.6666666666666,1251.0
37067000021,12,4855,3960,3472,136,222,85,30,3,682.3333333333334,2140.6666666666665
37067000031,12,2725,2227,1558,160,436,48,25,3,634.3333333333334,945.1666666666666
37067000032,12,4004,3146,2229,195,595,72,46,5,889.6666666666666,1351.1666666666667
37067000033,12,4360,3329,1501,575,1167,127,41,8,1084.5,725.3333333333334
37067000034,12,3702,2883,1953,284,530,91,42,2,641.1666666666666,1043.0
37067000042,12,6378,4717,2304,764,1512,147,84,5,1415.0,1173.6666666666667
37067000043,12,6089,4391,1933,1380,971,155,40,15,949.3333333333334,1068.5
37067000051,12,4594,3648,2696,331,393,77,175,3,961.5,1326.8333333333333
37067000052,12,1540,1267,1132,49,50,14,26,1,455.3333333333333,554.1666666666666
37067000053,12,3461,2614,2150,125,183,55,85,1,759.6666666666666,1287.8333333333333
37067000054,12,3330,2668,2318,76,164,25,71,1,914.8333333333334,1229.1666666666667
37067000055,12,5137,4025,3126,217,303,88,271,3,1268.6666666666667,1698.5
37067000061,12,3989,3106,1966,507,513,95,46,4,691.6666666666666,941.3333333333334
37067000062,12,2441,1939,1583,80,197,57,25,0,575.8333333333334,987.5
37067000063,12,5677,4374,3278,271,635,136,91,8,1038.1666666666667,1983.3333333333333
37067000064,12,1930,1598,1198,165,189,36,24,0,392.8333333333333,563.5
37067000065,12,5184,4206,3298,212,506,72,120,2,1186.6666666666667,1907.8333333333333
37067000066,12,4398,3354,2257,650,307,132,66,1,584.0,1219.0
37067000067,12,3411,2757,1932,257,474,69,33,0,629.6666666666666,765.6666666666666
37067000068,12,3597,2772,2305,111,268,56,27,3,739.1666666666666,1389.1666666666667
37067000071,12,4976,3824,3139,179,271,74,156,0,1247.3333333333333,1673.3333333333333
37067000072,12,9060,6856,4935,825,676,115,308,7,1940.3333333333333,2528.1666666666665
37067000073,12,3931,2994,2722,90,103,31,42,0,829.0,1699.3333333333333
37067000074,12,4627,3588,2638,201,420,50,262,5,1356.6666666666667,1277.8333333333333
37067000075,12,994,785,691,36,28,13,14,1,184.16666666666666,385.6666666666667
37067000081,12,5747,4260,1827,769,1542,115,57,13,1592.6666666666667,889.8333333333334
37067000082,12,6259,4939,2663,389,1756,123,61,7,2015.3333333333333,1545.0
37067000083,12,3329,2563,1091,348,1073,71,17,10,1061.3333333333333,564.3333333333334
37067000091,12,2995,2420,2051,79,201,52,21,4,456.1666666666667,1168.6666666666667
37067000092,12,2382,1892,1660,60,110,53,21,2,365.1666666666667,1012.0
37067000101,12,3293,2565,1433,462,625,41,18,6,905.5,730.6666666666666
37067000111,12,2539,2093,1759,113,150,68,11,2,348.3333333333333,1050.0
37067000112,12,4627,3675,2807,222,532,107,25,5,789.1666666666666,1568.1666666666667
37067000122,12,9793,7458,3638,805,2594,155,308,8,2833.3333333333335,1790.3333333333333
37067000123,12,4515,3697,2388,305,753,98,188,3,1210.0,1072.5
37067000131,12,4637,3570,2721,170,389,70,207,11,1220.3333333333333,1419.1666666666667
37067000132,12,5783,4371,3273,202,593,100,198,6,1523.6666666666667,1770.8333333333333
37067000133,12,8335,6203,5125,288,343,126,320,5,1987.5,2771.0
37067000201,12,7986,6337,1975,868,3268,155,174,21,2435.8333333333335,425.1666666666667
37067000203,12,2826,1879,96,142,1630,21,9,3,1068.3333333333333,35.5
37067000204,12,2587,1905,368,303,1192,61,28,5,964.8333333333334,84.66666666666667
37067000205,12,1223,895,32,83,761,18,7,1,537.5,23.166666666666668
37067000206,12,2823,2046,284,584,1153,58,15,4,1046.8333333333333,122.16666666666667
37067000207,12,5112,3635,756,1000,1810,101,52,11,1334.8333333333333,277.5
37067000301,12,1583,1088,45,222,828,14,1,6,553.8333333333334,20.166666666666668
37067000302,12,1787,1234,106,209,916,29,1,3,636.0,40.5
37067000303,12,1497,947,30,156,755,13,7,1,452.8333333333333,16.833333333333332
37067000304,12,2635,1991,55,140,1793,26,21,1,1379.8333333333333,44.166666666666664
37067000305,12,1917,1510,76,169,1253,21,18,0,992.0,38.833333333333336
37067000306,12,3532,2398,366,920,1071,75,19,7,858.8333333333334,140.33333333333334
37067000401,12,3331,2436,380,411,1626,46,21,0,1119.1666666666667,108.66666666666667
37067000402,12,2143,1494,68,188,1235,31,3,3,811.6666666666666,24.0
37067000403,12,3003,2270,369,241,1600,30,44,4,983.8333333333334,77.83333333333333
37067000404,12,4295,3720,1417,303,1900,52,104,0,1486.8333333333333,277.0
37067000405,12,3721,3158,110,256,2781,52,15,0,1229.1666666666667,35.666666666666664
37067000501,12,3175,2320,289,466,1549,75,17,2,1387.1666666666667,129.16666666666666
37067000502,12,2984,2077,147,735,1215,32,3,1,885.0,58.0
37067000503,12,3180,2318,977,582,715,55,50,4,818.0,155.16666666666666
37067000504,12,2993,2020,369,840,828,58,14,3,676.8333333333334,127.83333333333333
37067000505,12,4275,2976,736,955,1277,72,22,3,967.3333333333334,277.8333333333333
37067000506,12,3177,2290,973,626,629,71,48,10,726.0,425.3333333333333
37067000507,12,8619,6199,2547,1097,2413,189,108,18,2334.5,1374.1666666666667
37067000601,12,2872,2493,1508,291,579,84,70,3,1006.0,292.0
37067000602,12,6335,4950,2520,646,1611,114,125,5,2044.1666666666667,1142.1666666666667
37067000603,12,3087,2504,1448,329,633,72,48,3,1200.3333333333333,304.0
37067000604,12,3428,2570,882,570,1052,42,71,4,948.1666666666666,230.0
37067000605,12,5900,4566,1801,902,1690,122,141,1,1758.5,808.0
37067000606,12,3279,2422,915,790,694,91,33,2,827.5,391.0
37067000607,12,3220,2666,1689,244,575,79,87,4,1153.0,646.0
37067000701,12,2097,1726,1310,54,280,14,68,2,646.5,516.0
37067000702,12,1885,1600,1267,71,155,23,96,0,856.8333333333334,363.3333333333333
37067000703,12,1566,1302,1069,74,82,39,43,0,701.6666666666666,279.5
37067000704,12,2323,1922,1498,86,255,20,48,0,1042.1666666666667,420.1666666666667
37067000705,12,3462,2876,1706,307,678,65,159,4,1129.0,573.6666666666666
37067000706,12,2126,1683,935,225,441,45,67,2,593.3333333333334,351.3333333333333
37067000707,12,2148,1724,1102,211,351,36,54,3,669.0,406.1666666666667
37067000708,12,6262,4896,2756,574,1184,110,341,10,1896.0,1311.6666666666667
37067000709,12,4646,3863,2296,256,1054,89,218,6,1480.8333333333333,874.6666666666666
37067000801,12,1745,1458,1088,79,237,18,47,0,671.1666666666666,401.8333333333333
37067000802,12,1843,1409,1307,32,30,25,14,0,684.1666666666666,638.8333333333334
37067000803,12,2013,1581,1503,28,12,11,22,0,665.5,805.6666666666666
37067000804,12,1563,1170,1066,26,37,19,18,1,561.3333333333334,482.1666666666667
37067000805,12,2867,2234,1973,89,87,31,54,3,1097.0,883.5
37067000806,12,2427,2082,1629,121,211,44,77,3,773.1666666666666,746.8333333333334
37067000807,12,2572,2013,1509,98,162,37,218,0,815.5,749.0
37067000808,12,5914,4690,2350,545,1441,108,299,8,1688.8333333333333,775.3333333333334
37067000809,12,3265,2533,2165,94,111,44,107,3,1200.8333333333333,1027.0
37067000901,12,2147,1752,1539,72,90,17,34,1,960.1666666666666,507.5
37067000902,12,2835,2624,1686,157,586,59,136,0,1144.8333333333333,263.1666666666667
37067000903,12,4708,4344,3199,257,605,31,253,2,1467.5,650.3333333333334
37067000904,12,4444,3407,936,837,1527,78,47,51,1285.1666666666667,357.8333333333333
37067000905,12,4961,4495,2869,318,948,72,314,8,1338.5,492.6666666666667
37067000906,12,4310,3393,2357,212,612,70,155,4,1559.8333333333333,957.3333333333334
37067000907,12,2576,2061,1461,172,333,39,63,0,938.0,515.8333333333334
37067000908,12,3379,2585,2068,150,225,29,107,0,1174.8333333333333,1116.8333333333333
37067000909,12,1999,1514,912,199,335,53,37,7,627.5,458.1666666666667
37069000001,11,2748,2287,1133,98,968,33,58,4,924.5,424.0
37069000002,11,2540,2022,942,246,785,54,17,1,638.8333333333334,453.6666666666667
37069000003,11,5671,4343,2636,316,1245,125,46,10,1323.6666666666667,1366.1666666666667
37069000005,11,4068,3053,2055,356,578,69,20,2,646.0,1098.5
37069000006,11,2937,2451,1174,254,973,60,17,1,669.0,556.6666666666666
37069000007,11,2795,2122,1664,167,215,63,19,0,374.3333333333333,967.0
37069000008,11,4975,3991,2905,312,655,92,33,4,949.5,1268.1666666666667
37069000009,11,2199,1776,1225,128,385,59,5,0,439.6666666666667,720.3333333333334
37069000010,11,1467,1167,803,89,257,27,9,1,261.6666666666667,508.3333333333333
37069000011,11,2440,1935,977,140,796,37,1,2,713.8333333333334,495.8333333333333
37069000012,11,2043,1629,1053,70,484,18,7,2,444.8333333333333,574.6666666666666
37069000013,11,2928,2311,1619,314,317,74,18,5,524.0,979.0
37069000014,11,6081,4544,3484,294,622,99,40,2,1204.0,2127.0
37069000015,11,4410,3379,1387,362,1550,64,46,2,1549.1666666666667,795.0
37069000016,11,2789,2215,1128,131,934,48,8,0,884.6666666666666,582.3333333333334
37069000017,11,5291,4022,3070,312,480,111,25,4,928.1666666666666,1811.1666666666667
37069000018,11,4460,3295,2461,205,497,104,39,2,883.0,1407.0
37069000019,11,8731,6602,4467,563,1318,103,157,10,1905.8333333333333,2618.3333333333335
37071000001,9,1840,1482,998,123,302,65,15,0,515.8333333333334,397.3333333333333
37071000002,9,4500,3211,1541,395,1194,76,35,5,919.8333333333334,612.3333333333334
37071000003,9,3618,2763,1196,350,1170,60,22,1,811.8333333333334,423.5
37071000004,9,8969,6800,3869,946,1742,180,78,3,1443.6666666666667,2025.8333333333333
37071000005,9,4847,3497,1512,367,1555,83,15,3,903.1666666666666,548.3333333333334
37071000006,9,3139,2247,734,361,1126,35,11,2,866.6666666666666,273.6666666666667
37071000007,9,2397,1926,533,133,1229,41,21,4,660.6666666666666,50.833333333333336
37071000008,9,3352,2384,965,291,1089,39,16,2,788.5,381.0
37071000009,9,3320,2599,1256,358,905,66,32,5,681.1666666666666,621.6666666666666
37071000010,9,4074,3307,2005,336,878,58,49,3,961.0,940.8333333333334
37071000011,9,3198,2559,1308,276,876,64,49,3,653.6666666666666,448.0
37071000012,9,5256,4295,2877,490,784,110,50,5,701.8333333333334,1339.8333333333333
37071000013,9,4886,3618,2298,352,795,94,98,0,783.0,1250.1666666666667
37071000014,9,1432,1185,898,107,135,20,25,0,352.3333333333333,540.1666666666666
37071000015,9,9158,7056,4732,563,1412,132,238,2,2001.8333333333333,2859.3333333333335
37071000016,9,6097,4614,3513,220,616,80,186,1,1201.1666666666667,2280.3333333333335
37071000017,9,5942,4758,3090,378,1078,93,138,8,1328.0,1749.8333333333333
37071000018,9,9710,7574,4251,1025,1982,159,233,5,2124.6666666666665,2227.8333333333335
37071000019,9,7742,6063,4274,669,902,205,45,4,1051.3333333333333,2184.5
37071000020,9,5839,4634,3717,234,559,111,26,3,576.1666666666666,1951.0
37071000021,9,3873,3019,2078,162,689,90,26,4,587.8333333333334,986.3333333333334
37071000022,9,6213,4942,3702,291,794,131,40,3,902.1666666666666,2159.0
37071000023,9,4890,3825,3198,135,315,84,76,8,1063.0,1640.6666666666667
37071000024,9,4739,3912,2923,199,499,111,176,13,854.5,1265.1666666666667
37071000025,9,4361,3591,2707,226,392,95,167,3,575.6666666666666,1150.3333333333333
37071000026,9,4576,3731,2772,344,423,93,98,6,772.0,1323.8333333333333
37071000027,9,6327,4687,3973,116,304,92,190,2,1276.8333333333333,2431.1666666666665
37071000028,9,5025,4029,3345,131,339,72,126,3,1013.6666666666666,1897.0
37071000029,9,6146,4796,4073,125,332,94,141,4,1060.0,2431.0
37071000030,9,3790,3021,2347,285,226,92,59,2,476.1666666666667,1103.5
37071000031,9,4443,3565,3006,117,279,104,48,9,586.6666666666666,1890.8333333333333
37071000032,9,3641,2837,2121,196,346,89,74,2,544.3333333333334,1176.5
37071000033,9,3512,2793,2403,79,209,83,16,3,268.1666666666667,1295.5
37071000034,9,3537,2852,2509,90,102,106,17,0,312.6666666666667,1330.3333333333333
37071000035,9,2726,2192,1823,82,225,59,16,3,300.0,961.5
37071000036,9,4679,3759,3154,257,240,74,31,1,456.3333333333333,1779.1666666666667
37071000037,9,2260,1786,1435,49,231,51,17,4,319.3333333333333,801.6666666666666
37071000038,9,4033,3207,2848,121,129,81,22,1,351.5,1830.1666666666667
