GEOID20,District
37037000003,11
37037000006,11
37037000009,11
37041000001,6
37041000002,6
37041000003,6
37041000004,6
37041000005,6
37041000006,6
37073000001,6
37073000002,6
37073000003,6
37073000005,6
37165000003,5
37165000004,5
37165002-25,5
37165001-16,5
37165000007,5
37165006-89,5
37185000001,11
37185000002,11
37185000003,11
37185000004,11
37185000005,11
37185000006,11
37185000007,11
37185000008,11
37185000009,11
37001000001,13
37001000002,13
37001000004,13
37001000005,13
37001000007,13
37001000011,13
37001000013,13
37005000001,8
3700500003A,8
37005000004,8
3700500006A,8
37009000002,8
37009000003,8
37009000004,8
37009000006,8
37009000007,8
37009000008,8
37009000009,8
37009000010,8
37009000011,8
37009000012,8
37009000013,8
37009000014,8
37009000015,8
37009000016,8
37009000017,8
37009000018,8
37009000020,8
37011000001,8
37011000002,8
37011000003,8
37011000004,8
37011000005,8
37011000006,8
37011000007,8
37011000008,8
37011000009,8
37011000010,8
37011000011,8
37011000012,8
37011000013,8
37011000014,8
37011000015,8
37011000016,8
37011000017,8
37011000018,8
37011000019,8
37019000001,4
37019000002,4
37019000003,4
370190004B2,4
3701900004A,4
37129000W03,4
37019000005,4
37019000006,4
37019000007,4
37019000008,4
37019000009,4
3701900010B,4
3701900010A,4
37019000011,4
37019000012,4
37019000013,4
37019000014,4
37019000015,4
37019000016,4
37019000017,4
37019000018,4
37019000019,4
37019000020,4
37019000021,4
37019000022,4
37019000023,4
37035000001,9
37035000002,9
37035000003,9
37035000004,9
37035000005,9
37035000006,9
37035000007,9
37035000008,9
37035000009,9
37035000010,9
37035000011,9
37035000012,9
37035000013,9
37035000014,9
37035000015,9
37035000016,9
37035000017,9
37035000019,9
37035000020,9
37035000021,9
37035000022,9
37035000023,9
37035000024,9
37035000025,9
37035000026,9
37035000027,9
37035000028,9
37035000029,9
37035000030,9
37035000031,9
37035000032,9
37035000033,9
37035000034,9
37035000035,9
37035000036,9
37035000037,9
37035000038,9
37035000039,9
37035000040,9
37035000041,9
37037000015,11
37037000018,11
37037000020,11
37037000021,11
37037000024,11
37037000030,11
37037000042,11
37037000045,11
37037000075,11
37037000078,11
37037000085,11
37049000003,6
3704900CLR4,6
37049000005,6
37049000007,6
3704900CFB8,6
3704900DFB9,6
37049000011,6
3704900TE13,6
3704900VE14,6
37049000016,6
37049000017,6
37049000019,6
37049000020,6
37049000021,6
3703100STEL,6
37049000002,6
37049000023,6
3705700086A,12
37057000088,12
37057000004,12
37057000006,12
37057000008,12
37057000010,12
37057000012,12
37057000014,12
37057000016,12
37057000018,12
37057000020,12
37057000022,12
37057000024,12
37057000026,12
37057000028,12
37057000030,12
37057000032,12
37057000034,12
37057000036,12
37057000038,12
37057000040,12
37057000042,12
37057000044,12
37057000046,12
37057000048,12
37057000050,12
37057000052,12
37057000054,12
37057000056,12
37057000058,12
37057000060,12
37057000062,12
37057000064,12
37057000066,12
37057000068,12
37057000070,12
37057000072,12
37057000074,12
37057000076,12
37057000078,12
3705700080A,12
37057000082,12
37057000084,12
37059000001,8
37059000002,8
37059000003,8
37059000004,8
37059000005,8
37059000006,8
37059000007,8
37059000008,8
37059000009,8
37059000010,8
37059000011,8
37059000012,8
37059000013,8
37059000014,8
37063000001,11
37063000002,11
37063000003,11
37063000004,11
37063000005,11
37063000006,11
37063000007,11
37063000008,11
37063000009,11
37063000010,11
37063000012,11
37063000013,11
37063000014,11
37063000015,11
37063000016,11
37063000017,11
37063000018,11
37063000019,11
37063000020,11
37063000021,11
37063000022,11
37063000023,11
37063000024,11
37063000025,11
37063000026,11
37063000027,11
37063000028,11
37063000029,11
37063000031,11
37063000032,11
37063000033,11
370630034-2,11
370630034-1,11
370630035.3,11
37063000036,11
37063000037,11
37063000038,11
37063000039,11
37063000040,11
37063000041,11
37063000042,11
37063000043,11
37063000044,11
37063000045,11
37063000046,11
37063000047,11
37063000048,11
37063000050,11
37063000051,11
37063000052,11
37063000054,11
37063055-11,11
37063055-49,11
37069000001,11
37069000002,11
37069000003,11
37069000005,11
37069000006,11
37069000007,11
37069000008,11
37069000009,11
37069000010,11
37069000011,11
37069000012,11
37069000013,11
37069000014,11
37069000015,11
37069000016,11
37069000017,11
37069000018,11
37069000019,11
37071000001,9
37071000002,9
37071000003,9
37071000004,9
37071000005,9
37071000006,9
37071000007,9
37071000008,9
37071000009,9
37071000010,9
37071000011,9
37071000012,9
37071000013,9
37071000014,9
37071000015,9
37071000016,9
37071000017,9
37071000018,9
37071000019,9
37071000020,9
37071000021,9
37071000022,9
37071000023,9
37071000024,9
37071000025,9
37071000026,9
37071000027,9
37071000028,9
37071000029,9
37071000030,9
37071000031,9
37071000032,9
37071000033,9
37071000034,9
37071000035,9
37071000036,9
37071000037,9
37071000038,9
37071000039,9
37071000040,9
37071000041,9
37071000042,9
37071000043,9
37071000044,9
37071000045,9
37071000046,9
37093000001,5
37093000002,5
37093000003,5
37093000004,5
37093000005,5
37093000014,5
3709300006B,5
37093000015,5
37093000012,5
37093000013,5
37093000061,5
37093000062,5
37093000063,5
37093000064,5
37093000065,5
37113000001,3
37113000002,3
37113000003,3
37113000004,3
37113000005,3
37113000006,3
37113000007,3
37113000008,3
37113000009,3
37113000010,3
37113000011,3
37113000012,3
37113000013,3
37113000014,3
37113000015,3
37121000001,8
37121000002,8
37121000003,8
37121000004,8
37121000005,8
37121000006,8
37121000007,8
37121000008,8
37121000009,8
371510000AR,10
371510000AS,10
371510000AE,10
371510000AN,10
371510000AW,10
371510000BC,10
371510000SE,10
371510000SW,10
371510000DR,10
371510000GR,10
371510000LC,10
371510000LB,10
371510000NM,10
371510000PR,10
371510000RM,10
371510000RN,10
371510000SO,10
371510000ST,10
371510000TB,10
371510000TR,10
371510000TT,10
371510000UG,10
37153000001,10
37153000002,10
37153000003,10
37153000004,10
37153000005,10
37153000006,10
37153000007,10
37153000008,10
37153000009,10
37153000010,10
37153000011,10
37153000012,10
37153000013,10
37153000014,10
37153000015,10
37153000016,10
37155000001,5
37155000002,5
37155000003,5
37155000004,5
3715500005A,5
37155000007,5
37155000008,5
37155000009,5
37155000010,5
37155000011,5
3715500011A,5
37155000012,5
37155000013,5
37155000014,5
37155000015,5
37155000016,5
37155000017,5
37155000019,5
37155000020,5
37155000021,5
37155000022,5
37155000023,5
37155000024,5
37155000025,5
3715500026A,5
37155000028,5
37155000029,5
37155000030,5
3715500032A,5
37155000033,5
37155000034,5
37155000035,5
37155000036,5
37155000037,5
37155000038,5
37155000039,5
37155000040,5
37155000041,5
37159000001,12
37159000002,12
37159000003,12
37159000004,12
3715900005A,12
37159000007,12
37159000008,12
37159000009,12
37159000010,12
37159000011,12
37159000012,12
37159000013,12
3715900014A,12
37159000015,12
37159000016,12
37159000017,12
37159000018,12
3715900019A,12
37159000021,12
37159000022,12
37159000023,12
37159000024,12
37159000025,12
37159000026,12
37159000027,12
37159000028,12
37159000029,12
37159000030,12
37159000031,12
37159000032,12
37159000033,12
37159000034,12
37159000035,12
37159000036,12
37159000038,12
37159000039,12
37159000040,12
37159000041,12
37159000042,12
37159000044,12
37159000045,12
37161000011,3
37161000013,3
37161000014,3
37161000018,3
37161000019,3
37161000027,3
37161000028,3
37161000029,3
37161000030,3
37161000034,3
37165005-10,5
37169000001,12
37169000002,12
37169000003,12
37169000004,12
37169000506,12
37169000007,12
37169000008,12
37169000009,12
37169000010,12
37169000011,12
37169000012,12
37169000013,12
37169000014,12
37169000015,12
37169001618,12
37169000017,12
37169001819,12
37169000020,12
37171000001,8
37171000029,8
37171000004,8
37171000005,8
37171000030,8
37171000009,8
37171000010,8
37171000011,8
37171000012,8
37171000013,8
37171000031,8
37171000015,8
37171000016,8
37171000017,8
37171000018,8
37171000019,8
37171000032,8
37171000022,8
37171000023,8
37171000024,8
37171000025,8
37171000026,8
37171000027,8
37171000028,8
37177000001,6
37177000002,6
37177000003,6
37177000014,6
37177000015,6
37177000016,6
37185000010,11
37185000011,11
37185000012,11
37185000013,11
37185000014,11
37189000001,8
37189000002,8
37189000003,8
37189000004,8
37189000005,8
37189000006,8
37189000007,8
37189000008,8
37189000009,8
37189000010,8
37189000011,8
37189000012,8
37189000013,8
37189000014,8
37189000015,8
37189000016,8
37189000017,8
37189000018,8
37189000019,8
37189000020,8
37191000001,7
37191000002,7
37191000003,7
37191000004,7
37191000005,7
37191000006,7
37191000007,7
37191000008,7
37191000009,7
37191000010,7
37191000011,7
37191000012,7
37191000013,7
37191000014,7
37191000015,7
37191000016,7
37191000017,7
37191000018,7
37191001920,7
37191000021,7
37191000022,7
37191000023,7
37191000024,7
37191002530,7
37191000026,7
37191000027,7
37191000028,7
37191000029,7
37001000035,13
37001000063,13
37001000064,13
37001000103,13
37001000124,13
37001000125,13
37001000126,13
37001000127,13
37001000128,13
37001000129,13
37067000011,12
37067000012,12
37067000013,12
37067000014,12
37067000015,12
37067000021,12
37067000031,12
37067000032,12
37067000033,12
37067000034,12
37067000042,12
37067000043,12
37067000051,12
37067000052,12
37067000053,12
37067000054,12
37067000055,12
37067000061,12
37067000062,12
37067000063,12
37067000064,12
37067000065,12
37067000066,12
37067000067,12
37067000068,12
37067000071,12
